,Date,,Name,Town,Total Granted,Auto Payment,Auto Ins,Auto Fuel,Auto Repair,Electricity,Electrical Repairs,Furnishings,Health Ins,Home Ins,House hold,House Repairs,Medical,Mortgage,Rent,Moving,Propane/ Pellets/Oil,Phone,Trash,Water Sewer,"Repair Water
"
,11.21.11,,,,,,,200.00,,,,,,,,,,,,,,,,,
64,10.25.11,,Couple,Wilmington,1064.94,594.38,,,,225.13,,,,,,,,,,,118.93,,,126.50,
65,10.28.11,,Family of 5,Brattleboro,294.71,,,,,151.19,,,,,,,,,,,,,,143.52,
66,10.28.11,,Couple,Wilmington,1118.93,,,,,,,,,,,,,,675.00,,,,,,
,11.11.11,,,,,,,,,,,,,,88.93,,,,,,,,,,
,12.5.11,,,,,,,,,,,,,,,,,,,,355.00,,,,
67,10.28.11,,Couple,Jacksonville,5485.17,,306.00,,,116.80,,,,,,,"1,890.63",,650.00,,,128.24,,,
,11.4.11,,,,,,,,,,,,,,,,"1,143.50",,650.00,,,,,,
,11.15.11,,,,,600.00,,,,,,,,,,,,,,,,,,,
68,,,Church,Wilmington,0,,,,,,,,,,,,,,,,,,,,
69,10.28.11,,Family of 5,Wilmington,1075.4,,,,,161.69,,,,,,,,,650.00,,,26.60,,,
,11.17.11,,,,,,,,,237.11,,,,,,,,,,,,,,,
70,10.28.11,,Single Mother,Wilmington,2663.35,,,,,0.00,,,,,,,,,750.00,,,,,,
,11.11.11,,,,,,,,,,,,,,88.93,,,,,,,,,,
,11.21.11,,,,,,,,,,,,,,,,,,750.00,,,,,,
,12.5.11,,,,,,,,,324.42,,,,,,,,,750.00,,,,,,
,12.31.11,,,,,,,,,,,,,,,,,,,,,,,,
71,10.28.11,,Single Woman,Wilmington,1749.92,,,,,65.00,,,,,77.72,,470.00,781.65,,,,128.70,,,
,11.14.11,,,,,,,,,,,,,,,226.85,,,,,,,,,
72,10.27.11,,Couple,Jacksonville,1278.92,,,,,,,,,,,0.00,,502.00,,,290.00,,,,
,11.4.11,,,,,,,,,104.26,,,,,,,,,,,,80.36,,302.30,
73,10.31.11,,Single Mother,Readsboro,1321.61,,,,,244.61,,,,,,,,,900.00,,,,,177.00,
74,10.31.11,,Single Woman,East Dover,770,,,,,,,,,,,,,,385.00,,,,,,
,12.26.11,,,,,,,,,,,,,,,,,,385.00,,,,,,
75,11.4.11,,Family of 4,Wilmington,1842.54,375.54,,,,,,,,,,,,"1,467.00",,,,,,,
76,11.7.11,,Single Man,East Dover,1361.15,675.00,384.15,,102.00,,,,,,,,,,200.00,,,,,,
77,11.7.11,,Single Woman,Jacksonville,943.5,341.51,,,,,,,,,,,,,,,66.00,170.79,,365.20,
78,11.11.11,,Single Man,WWardsboro,1946.05,,,,,,,,,,,,,,,,949.72,,,,
,11.15.11,,,,,,,,526.91,,,,,,,,,469.42,,,,,,,
79,11.17.11,,Family of 4,Wilmington,2000,,,,,,,,,,,,,,,,"2,000.00",,,,
80,11.9.11,,Family of 5,WWardsboro,3092.3,,,50.00,,,,,,,,,,,,,,,,,
,11.11.11,,,,,844.94,,,,,,,,,,,,,"2,000.00",,,197.36,,,
81,11.15.11,,Family of 3,East Dover,2222.03,,,,,,,,,,,"1,722.03",,,,,,,,,
,12.6.11,,,,,,,,,,,,,,,500.00,,,,,,,,,
82,11.11.11,,Single Mother,East Dover,2050.25,,,,,250.25,,,,,,,,,,,,,,,
,12.31.11,,,,,,,,,,,,,,,,,,"1,800.00",,,,,,
83,11.14.11,,Single Man,Wilmington,1425,,,,,,,,,,,,,,"1,425.00",,,,,,
84,11.15.11,,Single Woman,Wilmington,3885,,,,,,,,,,,"3,885.00",,,,,,,,,
85,11.15.11,,Single Woman,Whitingham,8787.29,,"1,604.00",,,966.37,,,,"1,017.64","3,413.56",,,"1,002.00",,,152.11,477.61,,,
,,,,,,,,,,154.00,,,,,,,,,,,,,,,
86,11.17.11,,Single Woman,Wilmington,880,,,,,,,,,,,,,,880.00,,,,,,
87,11.17.11,,Family of 5,Wilmington,1730.86,,,,,,,,,,,,,,"1,560.00",,,,,,
,12.31.11,,,,,,,,,,,,,,,,,,,,170.86,,,,
88,12.31.11,,Couple,West Dover,1000,,,,,,,,,,,"1,000.00",,,,,,,,,
89,,,Single Mother,West Dover,0,,,,,,,,,,,,,,,,,,,,
90,11.17.11,,Couple,Halifax,2822.2,,,,,,,,,,,"2,822.20",,,,,,,,,
91,11.21.11,,Family of 6,Halifax,2081.37,,,50.00,,266.47,,,,,,,,,,,686.24,80.29,,,
